id;valor_total;unit;area_util;quartos;vagas;condominio;suites;banheiros;piscina;academia;quadra;endereco;link;bairro;media_bairro;qtd_dados_bairro;media_idh;media_gini;expectativa_vida;renda_percapita;estacao_prox;linha_prox;dist;lat;lon
526;189900;5934,38;32;2;1;180;0;1;0;1;0;Rua Juá Mirim, 300 - Cidade Tiradentes, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-tiradentes-zona-leste-sao-paulo-com-garagem-32m2-venda-RS189900-id-2548078273/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;SÃO MATEUS;PRATA;6822,823684;-23,5838787;-46,417548
734;221110;5142,09;43;2;1;250;0;1;0;0;1;Rua Luís Mateus, 100 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS221110-id-2614484926/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;4682,709841;-23,5435347;-46,4254919
738;219990;5116,05;43;1;1;300;0;1;1;0;0;Estrada Itaquera-Guaianases, 2001 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-1-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS219990-id-2616541937/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;4579,311123;-23,5373392;-46,4268225
753;219990;5116,05;43;2;1;300;0;1;1;0;0;Estrada Itaquera-Guaianases, 2001 - Guaianases, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-guaianases-zona-leste-sao-paulo-com-garagem-43m2-venda-RS219990-id-2610581288/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;4579,311123;-23,5373392;-46,4268225
924;220000;5365,85;41;2;1;300;0;1;1;1;1;Rua Ioneji Matsubayashi, 10 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-41m2-venda-RS220000-id-2524380092/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;3313,918703;-23,5577993;-46,4435232
927;240000;4285,71;56;2;1;220;0;1;0;0;0;Rua Antônio Bruni - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-56m2-venda-RS240000-id-2616777498/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;3358,48074;-23,5431266;-46,4384555
928;192000;3254,24;59;2;1;300;0;1;0;0;1;Rua Daniel Mongolo, 195 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-59m2-venda-RS192000-id-2574773043/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;3487,990355;-23,5386763;-46,437414
933;239000;5690,48;42;2;0;320;0;1;0;0;0;Rua Agrimensor Sugaya, 1133 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-42m2-venda-RS239000-id-2582153030/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;4097,846445;-23,5592323;-46,4356071
937;290000;6304,35;46;2;1;300;0;1;1;1;0;Rua Agrimensor Sugaya, 391 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-46m2-venda-RS290000-id-2580353709/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;3441,822684;-23,5577673;-46,4420511
951;280000;3888,89;72;3;1;372;1;1;1;0;0;Rua Agrimensor Sugaya, 1437 - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-3-quartos-itaquera-zona-leste-sao-paulo-com-garagem-72m2-venda-RS280000-id-2596451166/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;4316,97664;-23,5584977;-46,4328399
954;170000;3035,71;56;2;1;;0;1;0;0;0;Rua Lagoa da Barra - Itaquera, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-itaquera-zona-leste-sao-paulo-com-garagem-56m2-venda-RS170000-id-2606118976/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;2836,256041;-23,5450716;-46,4437146
1021;230000;5609,76;41;2;1;200;0;1;1;1;1;Rua Ioneji Matsubayashi, 10 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-41m2-venda-RS230000-id-2526996883/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;3313,918703;-23,5577993;-46,4435232
1022;190000;3877,55;49;2;1;150;0;1;0;0;1;Rua Daniel Mongolo, 180 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-49m2-venda-RS190000-id-2586533151/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;3478,07135;-23,5389433;-46,4374787
1023;143190;3579,75;40;2;1;270;0;1;0;0;0;Rua Chubei Takagashi, 100 - José Bonifácio, São Paulo - SP;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jose-bonifacio-zona-leste-sao-paulo-com-garagem-40m2-venda-RS143190-id-2615623294/;JOSE BONIFACIO;4621,488333;36;0,697181818;0,410909091;72,75181818;559,6681818;CORINTHIANS-ITAQUERA;VERMELHA;5225,430943;-23,565542;-46,4267474
