endereco,latitude,longitude,resale_price,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease
"330 SEMBAWANG CL, SEMBAWANG, Singapore",1.4466914,103.8180590179067,430000.0,2017-05,SEMBAWANG,5 ROOM,330,SEMBAWANG CL,07 TO 09,115.0,Improved,1999.0,81 years 02 months
"325 SEMBAWANG CRES, SEMBAWANG, Singapore",1.44438725,103.8190263,439000.0,2017-05,SEMBAWANG,5 ROOM,325,SEMBAWANG CRES,10 TO 12,123.0,Improved,1999.0,81 years 01 month
"589B MONTREAL DR, SEMBAWANG, Singapore",1.4498025,103.82555871425556,442000.0,2017-05,SEMBAWANG,5 ROOM,589B,MONTREAL DR,10 TO 12,110.0,Improved,2002.0,84 years 07 months
"471 SEMBAWANG DR, SEMBAWANG, Singapore",1.45193485,103.81588925514,482000.0,2017-05,SEMBAWANG,EXECUTIVE,471,SEMBAWANG DR,13 TO 15,130.0,Apartment,2000.0,82 years 02 months
"501D WELLINGTON CIRCLE, SEMBAWANG, Singapore",1.4511823,103.8222636285523,495000.0,2017-05,SEMBAWANG,EXECUTIVE,501D,WELLINGTON CIRCLE,01 TO 03,130.0,Apartment,2001.0,83 years 03 months
"507D WELLINGTON CIRCLE, SEMBAWANG, Singapore",1.4513933,103.8227944451458,495000.0,2017-05,SEMBAWANG,EXECUTIVE,507D,WELLINGTON CIRCLE,01 TO 03,130.0,Apartment,2001.0,83 years 03 months
"310 CANBERRA RD, SEMBAWANG, Singapore",1.4470136,103.82200328481224,510000.0,2017-05,SEMBAWANG,EXECUTIVE,310,CANBERRA RD,01 TO 03,143.0,Maisonette,1998.0,80 years 05 months
"441D FERNVALE RD, SENGKANG, Singapore",,,360000.0,2017-05,SENGKANG,4 ROOM,441D,FERNVALE RD,01 TO 03,93.0,Model A,2012.0,93 years 09 months
"306C ANCHORVALE LINK, SENGKANG, Singapore",1.3898492,103.888146,365000.0,2017-05,SENGKANG,4 ROOM,306C,ANCHORVALE LINK,04 TO 06,90.0,Model A,2002.0,83 years 08 months
"146 RIVERVALE DR, SENGKANG, Singapore",1.3902923,103.906472798861,366888.0,2017-05,SENGKANG,4 ROOM,146,RIVERVALE DR,13 TO 15,100.0,Model A,1999.0,81 years 04 months
"314A ANCHORVALE LINK, SENGKANG, Singapore",1.3909882,103.88917682361112,370388.0,2017-05,SENGKANG,4 ROOM,314A,ANCHORVALE LINK,04 TO 06,92.0,Premium Apartment,2003.0,85 years
"132 RIVERVALE ST, SENGKANG, Singapore",1.3899662,103.9036537613492,375000.0,2017-05,SENGKANG,4 ROOM,132,RIVERVALE ST,07 TO 09,101.0,Model A,1999.0,80 years 11 months
"122 SENGKANG EAST WAY, SENGKANG, Singapore",1.38668105,103.90687199326692,375000.0,2017-05,SENGKANG,4 ROOM,122,SENGKANG EAST WAY,13 TO 15,91.0,Model A,2000.0,82 years 03 months
"120A RIVERVALE DR, SENGKANG, Singapore",1.3860817,103.9039272494465,380000.0,2017-05,SENGKANG,4 ROOM,120A,RIVERVALE DR,07 TO 09,102.0,Premium Apartment,2001.0,82 years 10 months
