endereco,latitude,longitude,resale_price
"49 STRATHMORE AVE, QUEENSTOWN, Singapore",1.2940192499999998,103.80822458251313,705000.0
"28 GHIM MOH LINK, QUEENSTOWN, Singapore",1.30893615,103.7850542325032,710000.0
"28D DOVER CRES, QUEENSTOWN, Singapore",1.3061805,103.78242657193742,728000.0
"22 GHIM MOH LINK, QUEENSTOWN, Singapore",1.3092395,103.78569743583037,735000.0
"23 GHIM MOH LINK, QUEENSTOWN, Singapore",1.3087602999999999,103.78608887143942,740000.0
"50 STRATHMORE AVE, QUEENSTOWN, Singapore",1.29384705,103.80876501193279,745000.0
"50 STRATHMORE AVE, QUEENSTOWN, Singapore",1.29384705,103.80876501193279,750000.0
"18D HOLLAND DR, QUEENSTOWN, Singapore",1.30995105,103.79252334722321,805000.0
"51 STRATHMORE AVE, QUEENSTOWN, Singapore",1.29335185,103.80881338251314,890000.0
"91 TANGLIN HALT RD, QUEENSTOWN, Singapore",1.30075895,103.79942466626409,900000.0
"62A STRATHMORE AVE, QUEENSTOWN, Singapore",1.29438085,103.8114222239035,958000.0
"407 SEMBAWANG DR, SEMBAWANG, Singapore",1.4534158499999998,103.81685092803147,312000.0
"478 SEMBAWANG DR, SEMBAWANG, Singapore",1.4525586,103.81637460652027,315000.0
"501C WELLINGTON CIRCLE, SEMBAWANG, Singapore",1.4514148,103.82189027120361,315000.0
"486 ADMIRALTY LINK, SEMBAWANG, Singapore",1.45613345,103.81622228892749,320000.0
"482 ADMIRALTY LINK, SEMBAWANG, Singapore",1.4554236999999999,103.81565388101413,320000.0
"403 ADMIRALTY LINK, SEMBAWANG, Singapore",1.45396255,103.81616467055585,320800.0
"467 ADMIRALTY DR, SEMBAWANG, Singapore",1.4521353000000001,103.81443637682855,330000.0
"406 SEMBAWANG DR, SEMBAWANG, Singapore",1.4530775,103.81671294868812,338000.0
"487 ADMIRALTY LINK, SEMBAWANG, Singapore",1.455629,103.81607466839827,340000.0
"488 ADMIRALTY LINK, SEMBAWANG, Singapore",1.4551774,103.81628975719214,340000.0
"507A WELLINGTON CIRCLE, SEMBAWANG, Singapore",1.45274075,103.82397429918475,340000.0
"334 SEMBAWANG CL, SEMBAWANG, Singapore",1.447573,103.8161549237798,348000.0
"507B WELLINGTON CIRCLE, SEMBAWANG, Singapore",1.45277105,103.8230130511381,348000.0
"314 SEMBAWANG DR, SEMBAWANG, Singapore",1.4438662500000001,103.82143633545755,349200.0
"334 SEMBAWANG CL, SEMBAWANG, Singapore",1.447573,103.8161549237798,350000.0
"331 SEMBAWANG CL, SEMBAWANG, Singapore",1.44738595,103.81642240978215,360000.0
"315 SEMBAWANG VISTA, SEMBAWANG, Singapore",1.4468431499999999,103.82050149349999,360000.0
"489 ADMIRALTY LINK, SEMBAWANG, Singapore",1.4550326999999998,103.8167971409274,362000.0
"487 ADMIRALTY LINK, SEMBAWANG, Singapore",1.455629,103.81607466839827,365000.0
"350B CANBERRA RD, SEMBAWANG, Singapore",1.45008355,103.82076648475173,365000.0
"331 SEMBAWANG CL, SEMBAWANG, Singapore",1.44738595,103.81642240978215,365000.0
"339B SEMBAWANG CL, SEMBAWANG, Singapore",1.4479137,103.81732387234638,370000.0
"407 SEMBAWANG DR, SEMBAWANG, Singapore",1.4534158499999998,103.81685092803147,370000.0
"320 SEMBAWANG CL, SEMBAWANG, Singapore",1.4465083,103.81881076301936,378000.0
"360A ADMIRALTY DR, SEMBAWANG, Singapore",1.4492961000000002,103.81602950962795,385000.0
"317 SEMBAWANG VISTA, SEMBAWANG, Singapore",1.4459524,103.82042821315642,398000.0
"351C CANBERRA RD, SEMBAWANG, Singapore",1.45135185,103.8197697660697,400000.0
"352C CANBERRA RD, SEMBAWANG, Singapore",1.4498677,103.82003489953502,420000.0
"402 ADMIRALTY LINK, SEMBAWANG, Singapore",1.4539366500000002,103.81573351131041,350000.0
"483 ADMIRALTY LINK, SEMBAWANG, Singapore",1.4559453,103.81516273784709,355000.0
"409 SEMBAWANG DR, SEMBAWANG, Singapore",1.45310775,103.81765398076578,367000.0
"411 SEMBAWANG DR, SEMBAWANG, Singapore",1.45228775,103.81800529080195,380000.0
"491 ADMIRALTY LINK, SEMBAWANG, Singapore",1.4562026000000001,103.81749551329688,388000.0
"331 SEMBAWANG CL, SEMBAWANG, Singapore",1.44738595,103.81642240978215,400000.0
"466A SEMBAWANG DR, SEMBAWANG, Singapore",1.45596555,103.81353849464969,400000.0
"466B SEMBAWANG DR, SEMBAWANG, Singapore",1.4550798,103.81324199498886,405000.0
"507B WELLINGTON CIRCLE, SEMBAWANG, Singapore",1.45277105,103.8230130511381,418000.0
"357C ADMIRALTY DR, SEMBAWANG, Singapore",1.4498308,103.81759796658412,428000.0
"316 SEMBAWANG VISTA, SEMBAWANG, Singapore",1.44640055,103.82091897033074,428800.0
